'Time','SaO2','PR','EEG(sec)','ECG','EMG','EOG(L)','EOG(R)','EEG','AIRFLOW','THOR RES','ABDO RES'
'hh:mm:ss.mmm','%','BPM','uV','mV','uV','uV','uV','uV','V','V','V'
'[23:30:50.000]',97.010,54.289,-6.863,-0.251,-2.431,-2.941,-6.863,2.941,3.984,1.224,0.376
'[23:30:50.004]',97.010,54.289,-6.863,-0.251,-2.431,-2.941,-6.863,2.941,3.984,1.224,0.376
'[23:30:50.008]',97.010,54.289,-11.765,-0.251,-4.376,-2.941,-6.863,1.961,3.984,1.224,0.376
'[23:30:50.012]',97.010,54.289,-11.765,-0.259,-4.376,-2.941,-6.863,1.961,3.984,1.224,0.376
'[23:30:50.016]',97.010,54.289,-11.765,-0.251,0.729,-2.941,-6.863,2.941,3.984,1.224,0.376
'[23:30:50.020]',97.010,54.289,-11.765,-0.251,0.729,-0.980,-6.863,2.941,3.984,1.224,0.376
'[23:30:50.024]',97.010,54.289,-11.765,-0.251,-0.000,-0.980,-6.863,2.941,3.984,1.224,0.376
'[23:30:50.028]',97.010,54.289,-11.765,-0.251,-0.000,-0.980,-6.863,2.941,3.984,1.224,0.376
'[23:30:50.032]',97.010,54.289,-8.824,-0.243,-0.243,-0.980,-6.863,2.941,3.984,1.224,0.376
'[23:30:50.036]',97.010,54.289,-8.824,-0.235,-0.243,-0.980,-6.863,2.941,3.984,1.224,0.376
'[23:30:50.040]',97.010,54.289,-8.824,-0.235,0.243,-4.902,-7.843,-0.000,3.984,1.224,0.376
'[23:30:50.044]',97.010,54.289,-8.824,-0.235,0.243,-4.902,-7.843,-0.000,3.984,1.224,0.376
'[23:30:50.048]',97.010,54.289,-6.863,-0.227,-0.486,-4.902,-7.843,-0.980,3.984,1.224,0.376
'[23:30:50.052]',97.010,54.289,-6.863,-0.212,-0.486,-4.902,-7.843,-0.980,3.984,1.224,0.376
'[23:30:50.056]',97.010,54.289,-1.961,-0.212,-0.000,-4.902,-7.843,-0.000,3.984,1.224,0.376
'[23:30:50.060]',97.010,54.289,-1.961,-0.220,-0.000,-0.980,-5.882,-0.000,3.984,1.224,0.376
'[23:30:50.064]',97.010,54.289,1.961,-0.220,-3.161,-0.980,-5.882,2.941,3.984,1.224,0.376
'[23:30:50.068]',97.010,54.289,1.961,-0.220,-3.161,-0.980,-5.882,2.941,3.984,1.224,0.376
'[23:30:50.072]',97.010,54.289,0.980,-0.212,-1.459,-0.980,-5.882,2.941,3.984,1.224,0.376
'[23:30:50.076]',97.010,54.289,0.980,-0.212,-1.459,-0.980,-5.882,2.941,3.984,1.224,0.376
'[23:30:50.080]',97.010,54.289,-3.922,-0.212,-0.973,-6.863,-3.922,-2.941,3.984,1.224,0.376
'[23:30:50.084]',97.010,54.289,-3.922,-0.196,-0.973,-6.863,-3.922,-2.941,3.984,1.224,0.376
'[23:30:50.088]',97.010,54.289,-1.961,-0.188,0.243,-6.863,-3.922,-7.843,3.984,1.224,0.376
'[23:30:50.092]',97.010,54.289,-1.961,-0.188,0.243,-6.863,-3.922,-7.843,3.984,1.224,0.376
'[23:30:50.096]',97.010,54.289,2.941,-0.196,-0.243,-6.863,-3.922,-7.843,3.984,1.224,0.376
'[23:30:50.100]',97.010,54.289,2.941,-0.196,-0.243,-3.922,-0.980,-7.843,3.514,1.129,0.314
'[23:30:50.104]',97.010,54.289,4.902,-0.196,-0.243,-3.922,-0.980,-6.863,3.514,1.129,0.314
'[23:30:50.108]',97.010,54.289,4.902,-0.212,-0.243,-3.922,-0.980,-6.863,3.514,1.129,0.314
'[23:30:50.112]',97.010,54.289,3.922,-0.220,-1.459,-3.922,-0.980,-3.922,3.514,1.129,0.314
'[23:30:50.116]',97.010,54.289,3.922,-0.220,-1.459,-3.922,-0.980,-3.922,3.514,1.129,0.314
'[23:30:50.120]',97.010,54.289,4.902,-0.220,-0.729,-1.961,1.961,-0.980,3.514,1.129,0.314
'[23:30:50.124]',97.010,54.289,4.902,-0.227,-0.729,-1.961,1.961,-0.980,3.514,1.129,0.314
'[23:30:50.128]',97.010,54.289,4.902,-0.235,1.945,-1.961,1.961,2.941,3.514,1.129,0.314
'[23:30:50.132]',97.010,54.289,4.902,-0.235,1.945,-1.961,1.961,2.941,3.514,1.129,0.314
'[23:30:50.136]',97.010,54.289,5.882,-0.235,0.973,-1.961,1.961,3.922,3.514,1.129,0.314
'[23:30:50.140]',97.010,54.289,5.882,-0.243,0.973,-1.961,5.882,3.922,3.514,1.129,0.314
